id,audio_url,title,artist,album,duration,release_year,cover
4VwtfInG-LU,https://www.youtube.com/watch?v=4VwtfInG-LU,Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),195,2023.0,https://i.ytimg.com/vi_webp/4VwtfInG-LU/maxresdefault.webp
3jDQKquMXP4,https://www.youtube.com/watch?v=3jDQKquMXP4,Udd Gaye,Ritviz,Ved,180,2019.0,https://i.ytimg.com/vi_webp/3jDQKquMXP4/maxresdefault.webp
UJdnZiC2rd8,https://www.youtube.com/watch?v=UJdnZiC2rd8,wheels up,"San Holo, Weezer",bb u ok?,197,2021.0,https://i.ytimg.com/vi_webp/UJdnZiC2rd8/maxresdefault.webp
ZFz8wkbcmAw,https://www.youtube.com/watch?v=ZFz8wkbcmAw,Sajda Karaan,Mitraz,Sajda Karaan,220,2023.0,https://i.ytimg.com/vi_webp/ZFz8wkbcmAw/maxresdefault.webp
qvkL1Oesxy8,https://www.youtube.com/watch?v=qvkL1Oesxy8,Call on Me,Starley,Call on Me,162,2016.0,https://i.ytimg.com/vi_webp/qvkL1Oesxy8/maxresdefault.webp
h1ySgeTcz1o,https://www.youtube.com/watch?v=h1ySgeTcz1o,In Time,Koste,In Time,205,2020.0,https://i.ytimg.com/vi_webp/h1ySgeTcz1o/maxresdefault.webp
91Niv2q4gvc,https://www.youtube.com/watch?v=91Niv2q4gvc,... Baby One More Time,Britney Spears,... Baby One More Time (Digital Deluxe Version),211,1998.0,https://i.ytimg.com/vi_webp/91Niv2q4gvc/maxresdefault.webp
i1IDh_ZoJgI,https://www.youtube.com/watch?v=i1IDh_ZoJgI,Alag Aasmaan,Anuv Jain,Alag Aasmaan,213,2020.0,https://i.ytimg.com/vi_webp/i1IDh_ZoJgI/maxresdefault.webp
o637Bgtobis,https://www.youtube.com/watch?v=o637Bgtobis,That’s Why,"ILLENIUM, GOLDN",ASCEND,253,2019.0,https://i.ytimg.com/vi_webp/o637Bgtobis/maxresdefault.webp
5V-SLKk9jB4,https://www.youtube.com/watch?v=5V-SLKk9jB4,Questions,"Lost Frequencies, James Arthur",Questions,177,2022.0,https://i.ytimg.com/vi_webp/5V-SLKk9jB4/maxresdefault.webp
